#       Teff       logg            Z/Zo        SED-name
       15000      1.75000           1   TlustyOB/t15000.g1.75z1.dat.txt
       15000      2.00000           1   TlustyOB/t15000.g2.00z1.dat.txt
       15000      2.25000           1   TlustyOB/t15000.g2.25z1.dat.txt
       15000      2.50000           1   TlustyOB/t15000.g2.50z1.dat.txt
       15000      2.75000           1   TlustyOB/t15000.g2.75z1.dat.txt
       15000      3.00000           1   TlustyOB/t15000.g3.00z1.dat.txt
       15000      3.25000           1   TlustyOB/t15000.g3.25z1.dat.txt
       15000      3.50000           1   TlustyOB/t15000.g3.50z1.dat.txt
       15000      3.75000           1   TlustyOB/t15000.g3.75z1.dat.txt
       15000      4.00000           1   TlustyOB/t15000.g4.00z1.dat.txt
       15000      4.25000           1   TlustyOB/t15000.g4.25z1.dat.txt
       15000      4.50000           1   TlustyOB/t15000.g4.50z1.dat.txt
       15000      4.75000           1   TlustyOB/t15000.g4.75z1.dat.txt
       16000      2.00000           1   TlustyOB/t16000.g2.00z1.dat.txt
       16000      2.25000           1   TlustyOB/t16000.g2.25z1.dat.txt
       16000      2.50000           1   TlustyOB/t16000.g2.50z1.dat.txt
       16000      2.75000           1   TlustyOB/t16000.g2.75z1.dat.txt
       16000      3.00000           1   TlustyOB/t16000.g3.00z1.dat.txt
       16000      3.25000           1   TlustyOB/t16000.g3.25z1.dat.txt
       16000      3.50000           1   TlustyOB/t16000.g3.50z1.dat.txt
       16000      3.75000           1   TlustyOB/t16000.g3.75z1.dat.txt
       16000      4.00000           1   TlustyOB/t16000.g4.00z1.dat.txt
       16000      4.25000           1   TlustyOB/t16000.g4.25z1.dat.txt
       16000      4.50000           1   TlustyOB/t16000.g4.50z1.dat.txt
       16000      4.75000           1   TlustyOB/t16000.g4.75z1.dat.txt
       17000      2.00000           1   TlustyOB/t17000.g2.00z1.dat.txt
       17000      2.25000           1   TlustyOB/t17000.g2.25z1.dat.txt
       17000      2.50000           1   TlustyOB/t17000.g2.50z1.dat.txt
       17000      2.75000           1   TlustyOB/t17000.g2.75z1.dat.txt
       17000      3.00000           1   TlustyOB/t17000.g3.00z1.dat.txt
       17000      3.25000           1   TlustyOB/t17000.g3.25z1.dat.txt
       17000      3.50000           1   TlustyOB/t17000.g3.50z1.dat.txt
       17000      3.75000           1   TlustyOB/t17000.g3.75z1.dat.txt
       17000      4.00000           1   TlustyOB/t17000.g4.00z1.dat.txt
       17000      4.25000           1   TlustyOB/t17000.g4.25z1.dat.txt
       17000      4.50000           1   TlustyOB/t17000.g4.50z1.dat.txt
       17000      4.75000           1   TlustyOB/t17000.g4.75z1.dat.txt
       18000      2.00000           1   TlustyOB/t18000.g2.00z1.dat.txt
       18000      2.25000           1   TlustyOB/t18000.g2.25z1.dat.txt
       18000      2.50000           1   TlustyOB/t18000.g2.50z1.dat.txt
       18000      2.75000           1   TlustyOB/t18000.g2.75z1.dat.txt
       18000      3.00000           1   TlustyOB/t18000.g3.00z1.dat.txt
       18000      3.25000           1   TlustyOB/t18000.g3.25z1.dat.txt
       18000      3.50000           1   TlustyOB/t18000.g3.50z1.dat.txt
       18000      3.75000           1   TlustyOB/t18000.g3.75z1.dat.txt
       18000      4.00000           1   TlustyOB/t18000.g4.00z1.dat.txt
       18000      4.25000           1   TlustyOB/t18000.g4.25z1.dat.txt
       18000      4.50000           1   TlustyOB/t18000.g4.50z1.dat.txt
       18000      4.75000           1   TlustyOB/t18000.g4.75z1.dat.txt
       19000      2.25000           1   TlustyOB/t19000.g2.25z1.dat.txt
       19000      2.50000           1   TlustyOB/t19000.g2.50z1.dat.txt
       19000      2.75000           1   TlustyOB/t19000.g2.75z1.dat.txt
       19000      3.00000           1   TlustyOB/t19000.g3.00z1.dat.txt
       19000      3.25000           1   TlustyOB/t19000.g3.25z1.dat.txt
       19000      3.50000           1   TlustyOB/t19000.g3.50z1.dat.txt
       19000      3.75000           1   TlustyOB/t19000.g3.75z1.dat.txt
       19000      4.00000           1   TlustyOB/t19000.g4.00z1.dat.txt
       19000      4.25000           1   TlustyOB/t19000.g4.25z1.dat.txt
       19000      4.50000           1   TlustyOB/t19000.g4.50z1.dat.txt
       19000      4.75000           1   TlustyOB/t19000.g4.75z1.dat.txt
       20000      2.25000           1   TlustyOB/t20000.g2.25z1.dat.txt
       20000      2.50000           1   TlustyOB/t20000.g2.50z1.dat.txt
       20000      2.75000           1   TlustyOB/t20000.g2.75z1.dat.txt
       20000      3.00000           1   TlustyOB/t20000.g3.00z1.dat.txt
       20000      3.25000           1   TlustyOB/t20000.g3.25z1.dat.txt
       20000      3.50000           1   TlustyOB/t20000.g3.50z1.dat.txt
       20000      3.75000           1   TlustyOB/t20000.g3.75z1.dat.txt
       20000      4.00000           1   TlustyOB/t20000.g4.00z1.dat.txt
       20000      4.25000           1   TlustyOB/t20000.g4.25z1.dat.txt
       20000      4.50000           1   TlustyOB/t20000.g4.50z1.dat.txt
       20000      4.75000           1   TlustyOB/t20000.g4.75z1.dat.txt
       21000      2.50000           1   TlustyOB/t21000.g2.50z1.dat.txt
       21000      2.75000           1   TlustyOB/t21000.g2.75z1.dat.txt
       21000      3.00000           1   TlustyOB/t21000.g3.00z1.dat.txt
