#      Teff	   Log(g)	Metallicity	L/H	   Vturb     SED_name	
	1800	   5.5		0.00000      0.00000      0.00000	lte18-5.5-0.0.NextGen.spec.dat.txt
	1900	   3.5		0.00000      0.00000      0.00000	lte19-3.5-0.0.NextGen.spec.dat.txt
	1900	   4		0.00000      0.00000      0.00000	lte19-4.0-0.0.NextGen.spec.dat.txt
	1900	   4.5		0.00000      0.00000      0.00000	lte19-4.5-0.0.NextGen.spec.dat.txt
	1900	   5		0.00000      0.00000      0.00000	lte19-5.0-0.0.NextGen.spec.dat.txt
	1900	   5.5		0.00000      0.00000      0.00000	lte19-5.5-0.0.NextGen.spec.dat.txt
	2000	   3.5		0.00000      0.00000      0.00000	lte20-3.5-0.0.NextGen.spec.dat.txt
	2000	   4		0.00000      0.00000      0.00000	lte20-4.0-0.0.NextGen.spec.dat.txt
	2000	   4.5		0.00000      0.00000      0.00000	lte20-4.5-0.0.NextGen.spec.dat.txt
	2000	   5		0.00000      0.00000      0.00000	lte20-5.0-0.0.NextGen.spec.dat.txt
	2000	   5.5		0.00000      0.00000      0.00000	lte20-5.5-0.0.NextGen.spec.dat.txt
	2100	   3.5		0.00000      0.00000      0.00000	lte21-3.5-0.0.NextGen.spec.dat.txt
	2100	   4		0.00000      0.00000      0.00000	lte21-4.0-0.0.NextGen.spec.dat.txt
	2100	   4.5		0.00000      0.00000      0.00000	lte21-4.5-0.0.NextGen.spec.dat.txt
	2100	   5		0.00000      0.00000      0.00000	lte21-5.0-0.0.NextGen.spec.dat.txt
	2100	   5.5		0.00000      0.00000      0.00000	lte21-5.5-0.0.NextGen.spec.dat.txt
	2200	   3.5		0.00000      0.00000      0.00000	lte22-3.5-0.0.NextGen.spec.dat.txt
	2200	   4		0.00000      0.00000      0.00000	lte22-4.0-0.0.NextGen.spec.dat.txt
	2200	   4.5		0.00000      0.00000      0.00000	lte22-4.5-0.0.NextGen.spec.dat.txt
	2200	   5		0.00000      0.00000      0.00000	lte22-5.0-0.0.NextGen.spec.dat.txt
	2200	   5.5		0.00000      0.00000      0.00000	lte22-5.5-0.0.NextGen.spec.dat.txt
	2300	   3.5		0.00000      0.00000      0.00000	lte23-3.5-0.0.NextGen.spec.dat.txt
	2300	   4		0.00000      0.00000      0.00000	lte23-4.0-0.0.NextGen.spec.dat.txt
	2300	   4.5		0.00000      0.00000      0.00000	lte23-4.5-0.0.NextGen.spec.dat.txt
	2300	   5		0.00000      0.00000      0.00000	lte23-5.0-0.0.NextGen.spec.dat.txt
