#lambda[nm]	BBF_Y	BBF_J	BBF_H	BBF_Ks
#1	          2	  3   	  4	  5
503	3.30E-005	-2.60E-013	1.07E-003	0.00E+000
504	3.30E-005	-4.00E-014	1.07E-003	0.00E+000
505	3.30E-005	-2.40E-013	1.07E-003	0.00E+000
506	3.30E-005	4.00E-014	1.07E-003	0.00E+000
507	3.30E-005	0.00E+000	1.07E-003	0.00E+000
508	3.30E-005	6.00E-014	1.07E-003	0.00E+000
509	3.30E-005	1.40E-013	1.07E-003	0.00E+000
510	3.30E-005	2.00E-014	1.07E-003	0.00E+000
511	3.30E-005	2.20E-013	1.07E-003	0.00E+000
512	3.30E-005	6.60E-013	1.07E-003	0.00E+000
513	3.30E-005	-1.60E-013	1.07E-003	0.00E+000
514	3.30E-005	-2.80E-013	1.07E-003	0.00E+000
515	3.30E-005	8.00E-014	1.07E-003	0.00E+000
516	3.30E-005	4.00E-014	1.07E-003	0.00E+000
517	3.30E-005	-1.20E-013	1.07E-003	0.00E+000
518	3.30E-005	1.00E-013	1.07E-003	0.00E+000
519	3.30E-005	-1.60E-013	1.07E-003	0.00E+000
520	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
521	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
522	3.30E-005	-4.00E-014	1.07E-003	0.00E+000
523	3.30E-005	-2.00E-013	1.07E-003	0.00E+000
524	3.30E-005	-4.00E-014	1.07E-003	0.00E+000
525	3.30E-005	4.00E-014	1.07E-003	0.00E+000
526	3.30E-005	3.00E-013	1.07E-003	0.00E+000
527	3.30E-005	3.80E-013	1.07E-003	0.00E+000
528	3.30E-005	6.00E-014	1.07E-003	0.00E+000
529	3.30E-005	-2.20E-013	1.07E-003	0.00E+000
530	3.30E-005	2.80E-013	1.07E-003	0.00E+000
531	3.30E-005	-1.40E-013	1.07E-003	0.00E+000
532	3.30E-005	1.40E-013	1.07E-003	0.00E+000
533	3.30E-005	2.20E-013	1.07E-003	0.00E+000
534	3.30E-005	1.60E-013	1.07E-003	0.00E+000
535	3.30E-005	-1.80E-013	1.07E-003	0.00E+000
536	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
537	3.30E-005	4.00E-014	1.07E-003	0.00E+000
538	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
539	3.30E-005	-2.00E-013	1.07E-003	0.00E+000
540	3.30E-005	-2.40E-013	1.07E-003	0.00E+000
541	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
542	3.30E-005	1.80E-013	1.07E-003	0.00E+000
543	3.30E-005	6.00E-014	1.07E-003	0.00E+000
544	3.30E-005	8.00E-014	1.07E-003	0.00E+000
545	3.30E-005	2.40E-013	1.07E-003	0.00E+000
546	3.30E-005	2.00E-014	1.07E-003	0.00E+000
547	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
548	3.30E-005	2.00E-014	1.07E-003	0.00E+000
549	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
550	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
551	3.30E-005	6.00E-014	1.07E-003	0.00E+000
552	3.30E-005	-4.00E-014	1.07E-003	0.00E+000
553	3.30E-005	1.40E-013	1.07E-003	0.00E+000
554	3.30E-005	1.80E-013	1.07E-003	0.00E+000
555	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
556	3.30E-005	-1.60E-013	1.07E-003	0.00E+000
557	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
558	3.30E-005	1.40E-013	1.07E-003	0.00E+000
559	3.30E-005	2.00E-014	1.07E-003	0.00E+000
560	3.30E-005	1.20E-013	1.07E-003	0.00E+000
561	3.30E-005	-1.20E-013	1.07E-003	0.00E+000
562	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
563	3.30E-005	3.00E-013	1.07E-003	0.00E+000
564	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
565	3.30E-005	6.00E-014	1.07E-003	0.00E+000
566	3.30E-005	1.80E-013	1.07E-003	0.00E+000
567	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
568	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
569	3.30E-005	1.20E-013	1.07E-003	0.00E+000
570	3.30E-005	6.00E-014	1.07E-003	0.00E+000
571	3.30E-005	8.00E-014	1.07E-003	0.00E+000
572	3.30E-005	6.00E-014	1.07E-003	0.00E+000
573	3.30E-005	4.00E-014	1.07E-003	0.00E+000
574	3.30E-005	-4.00E-014	1.07E-003	0.00E+000
575	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
576	3.30E-005	2.00E-014	1.07E-003	0.00E+000
577	3.30E-005	6.00E-014	1.07E-003	0.00E+000
578	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
579	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
580	3.30E-005	4.00E-014	1.07E-003	0.00E+000
581	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
582	3.30E-005	-4.00E-014	1.07E-003	0.00E+000
583	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
584	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
585	3.30E-005	0.00E+000	1.07E-003	0.00E+000
586	3.30E-005	4.00E-014	1.07E-003	0.00E+000
587	3.30E-005	-1.80E-013	1.07E-003	0.00E+000
588	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
589	3.30E-005	-1.20E-013	1.07E-003	0.00E+000
590	3.30E-005	-1.20E-013	1.07E-003	0.00E+000
591	3.30E-005	1.40E-013	1.07E-003	0.00E+000
592	3.30E-005	1.80E-013	1.07E-003	0.00E+000
593	3.30E-005	-1.40E-013	1.07E-003	0.00E+000
594	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
595	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
596	3.30E-005	2.00E-014	1.07E-003	0.00E+000
597	3.30E-005	1.40E-013	1.07E-003	0.00E+000
598	3.30E-005	2.20E-013	1.07E-003	0.00E+000
599	3.30E-005	4.00E-014	1.07E-003	0.00E+000
600	3.30E-005	-1.60E-013	1.07E-003	0.00E+000
601	3.30E-005	-2.00E-013	1.07E-003	0.00E+000
602	3.30E-005	0.00E+000	1.07E-003	0.00E+000
603	3.30E-005	7.00E-014	1.07E-003	0.00E+000
604	3.30E-005	8.40E-013	1.07E-003	0.00E+000
605	3.30E-005	-0.00E+000	1.07E-003	0.00E+000
606	3.30E-005	-1.12E-012	1.07E-003	0.00E+000
607	3.30E-005	-8.40E-013	1.07E-003	0.00E+000
608	3.30E-005	-2.70E-013	1.07E-003	0.00E+000
609	3.30E-005	1.50E-013	1.07E-003	0.00E+000
610	3.30E-005	3.60E-013	1.07E-003	0.00E+000
611	3.30E-005	1.08E-012	1.07E-003	0.00E+000
612	3.30E-005	1.10E-013	1.07E-003	0.00E+000
613	3.30E-005	-1.60E-013	1.07E-003	0.00E+000
614	3.30E-005	8.00E-014	1.07E-003	0.00E+000
615	3.30E-005	-9.00E-014	1.07E-003	0.00E+000
616	3.30E-005	6.00E-014	1.07E-003	0.00E+000
617	3.30E-005	1.20E-013	1.07E-003	0.00E+000
618	3.30E-005	1.40E-013	1.07E-003	0.00E+000
619	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
620	3.30E-005	3.00E-014	1.07E-003	0.00E+000
621	3.30E-005	2.60E-013	1.07E-003	0.00E+000
622	3.30E-005	-1.20E-013	1.07E-003	0.00E+000
623	3.30E-005	0.00E+000	1.07E-003	0.00E+000
624	3.30E-005	9.00E-014	1.07E-003	0.00E+000
625	3.30E-005	-2.80E-013	1.07E-003	0.00E+000
626	3.30E-005	-3.20E-013	1.07E-003	0.00E+000
627	3.30E-005	-1.80E-013	1.07E-003	0.00E+000
628	3.30E-005	-6.00E-013	1.07E-003	0.00E+000
629	3.30E-005	1.90E-013	1.07E-003	0.00E+000
630	3.30E-005	-3.20E-013	1.07E-003	0.00E+000
631	3.30E-005	-1.00E-014	1.07E-003	0.00E+000
632	3.30E-005	7.80E-013	1.07E-003	0.00E+000
633	3.30E-005	1.40E-013	1.07E-003	0.00E+000
634	3.30E-005	-9.00E-013	1.07E-003	0.00E+000
635	3.30E-005	-4.00E-014	1.07E-003	0.00E+000
636	3.30E-005	3.60E-013	1.07E-003	0.00E+000
637	3.30E-005	6.00E-014	1.07E-003	0.00E+000
638	3.30E-005	2.00E-014	1.07E-003	0.00E+000
639	3.30E-005	-0.00E+000	1.07E-003	0.00E+000
640	3.30E-005	-0.00E+000	1.07E-003	0.00E+000
641	3.30E-005	9.00E-014	1.07E-003	0.00E+000
642	3.30E-005	-1.20E-013	1.07E-003	0.00E+000
643	3.30E-005	-5.00E-014	1.07E-003	0.00E+000
644	3.30E-005	-7.70E-013	1.07E-003	0.00E+000
645	3.30E-005	-6.30E-013	1.07E-003	0.00E+000
646	3.30E-005	-3.00E-014	1.07E-003	0.00E+000
647	3.30E-005	-1.10E-013	1.07E-003	0.00E+000
648	3.30E-005	2.10E-013	1.07E-003	0.00E+000
649	3.30E-005	1.20E-013	1.07E-003	0.00E+000
650	3.30E-005	4.20E-013	1.07E-003	0.00E+000
651	3.30E-005	-7.20E-013	1.07E-003	0.00E+000
652	3.30E-005	-3.60E-013	1.07E-003	0.00E+000
653	3.30E-005	0.00E+000	1.07E-003	0.00E+000
654	3.30E-005	-1.60E-013	1.07E-003	0.00E+000
655	3.30E-005	-7.70E-013	1.07E-003	0.00E+000
656	3.30E-005	-5.00E-013	1.07E-003	0.00E+000
657	3.30E-005	2.70E-013	1.07E-003	0.00E+000
658	3.30E-005	2.00E-013	1.07E-003	0.00E+000
659	3.30E-005	1.50E-013	1.07E-003	0.00E+000
660	3.30E-005	1.00E-012	1.07E-003	0.00E+000
661	3.30E-005	-2.40E-013	1.07E-003	0.00E+000
662	3.30E-005	-2.00E-013	1.07E-003	0.00E+000
663	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
664	3.30E-005	-1.20E-013	1.07E-003	0.00E+000
665	3.30E-005	0.00E+000	1.07E-003	0.00E+000
666	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
667	3.30E-005	0.00E+000	1.07E-003	0.00E+000
668	3.30E-005	-3.00E-013	1.07E-003	0.00E+000
669	3.30E-005	-2.80E-013	1.07E-003	0.00E+000
670	3.30E-005	-2.80E-013	1.07E-003	0.00E+000
671	3.30E-005	0.00E+000	1.07E-003	0.00E+000
672	3.30E-005	-0.00E+000	1.07E-003	0.00E+000
673	3.30E-005	-5.00E-014	1.07E-003	0.00E+000
674	3.30E-005	-2.10E-013	1.07E-003	0.00E+000
675	3.30E-005	-4.50E-013	1.07E-003	0.00E+000
676	3.30E-005	-8.80E-013	1.07E-003	0.00E+000
677	3.30E-005	-1.10E-012	1.07E-003	0.00E+000
678	3.30E-005	-9.00E-014	1.07E-003	0.00E+000
679	3.30E-005	0.00E+000	1.07E-003	0.00E+000
680	3.30E-005	8.00E-014	1.07E-003	0.00E+000
681	3.30E-005	2.40E-013	1.07E-003	0.00E+000
682	3.30E-005	-1.00E-012	1.07E-003	0.00E+000
683	3.30E-005	-8.80E-013	1.07E-003	0.00E+000
684	3.30E-005	-5.40E-013	1.07E-003	0.00E+000
685	3.30E-005	-2.70E-013	1.07E-003	0.00E+000
686	3.30E-005	4.20E-013	1.07E-003	0.00E+000
687	3.30E-005	-3.60E-013	1.07E-003	0.00E+000
688	3.30E-005	-2.00E-013	1.07E-003	0.00E+000
