#lambda[nm]	BBF_Y	BBF_J	BBF_H	BBF_Ks
#1	          2	  3   	  4	  5
852	6.16E-003	2.87E-004	1.07E-003	2.71E-008
853	4.37E-003	3.16E-004	1.07E-003	2.36E-008
854	2.47E-003	1.41E-004	1.07E-003	2.55E-008
855	1.57E-003	5.05E-005	1.07E-003	2.20E-008
856	7.41E-004	2.92E-005	1.07E-003	2.49E-008
857	6.85E-004	1.97E-005	1.07E-003	2.78E-008
858	6.29E-004	1.89E-005	1.07E-003	2.03E-008
859	4.46E-004	2.23E-005	1.07E-003	1.78E-008
860	2.54E-003	7.95E-005	1.07E-003	1.06E-007
861	-2.29E-004	1.99E-004	1.07E-003	1.16E-007
862	2.50E-003	1.55E-004	1.07E-003	1.33E-007
863	2.27E-003	3.25E-005	1.07E-003	1.15E-007
864	8.67E-003	-1.08E-005	1.07E-003	1.15E-007
865	2.67E-003	-1.25E-005	1.07E-003	1.64E-007
866	1.90E-004	-1.71E-005	1.07E-003	1.53E-007
867	1.85E-004	-1.11E-004	1.07E-003	1.52E-007
868	-1.06E-003	5.11E-005	1.07E-003	1.40E-007
869	6.62E-003	3.43E-005	1.07E-003	1.36E-007
870	2.06E-003	-4.67E-005	1.07E-003	1.45E-007
871	3.65E-003	3.01E-004	1.07E-003	1.40E-007
872	3.14E-003	2.32E-004	1.07E-003	1.48E-007
873	9.82E-004	-2.85E-004	1.07E-003	1.50E-007
874	2.31E-003	-7.58E-005	1.07E-003	1.34E-007
875	3.34E-003	4.00E-005	1.07E-003	1.48E-007
876	3.20E-003	5.19E-005	1.07E-003	1.60E-007
877	3.49E-003	-1.34E-004	1.07E-003	1.33E-007
878	-2.31E-003	6.64E-005	1.07E-003	1.56E-007
879	7.22E-004	5.08E-005	1.07E-003	1.61E-007
880	6.05E-003	3.28E-005	1.07E-003	1.26E-007
881	4.06E-003	2.81E-004	1.07E-003	1.57E-007
882	1.65E-003	-1.73E-004	1.07E-003	1.53E-007
883	4.80E-003	-1.93E-004	1.07E-003	1.65E-007
884	3.88E-003	2.68E-007	1.07E-003	1.66E-007
885	2.44E-003	2.40E-004	1.07E-003	1.77E-007
886	1.92E-003	-6.46E-005	1.07E-003	1.45E-007
887	3.08E-003	-8.93E-005	1.07E-003	1.06E-007
888	-1.83E-003	-5.55E-005	1.07E-003	1.51E-007
889	3.87E-004	1.62E-004	1.07E-003	1.59E-007
890	1.95E-003	7.89E-005	1.07E-003	1.50E-007
891	-7.11E-004	1.68E-004	1.07E-003	1.56E-007
892	-1.12E-003	1.26E-005	1.07E-003	1.51E-007
893	4.38E-003	3.90E-005	1.07E-003	1.46E-007
894	-1.40E-003	2.47E-005	1.07E-003	1.61E-007
895	1.76E-003	5.05E-005	1.07E-003	1.31E-007
896	2.83E-003	2.03E-005	1.07E-003	1.73E-007
897	6.89E-003	-1.27E-005	1.07E-003	1.75E-007
898	6.10E-004	1.56E-005	1.07E-003	1.19E-007
899	6.84E-003	4.76E-005	1.07E-003	1.73E-007
900	4.53E-003	-9.46E-006	1.07E-003	1.54E-007
901	-1.03E-003	2.03E-005	1.07E-003	1.40E-007
902	2.20E-003	1.87E-005	1.07E-003	1.78E-007
903	5.53E-003	1.16E-006	1.07E-003	1.23E-007
904	5.73E-003	-7.31E-007	1.07E-003	1.45E-007
905	1.67E-003	9.58E-006	1.07E-003	1.85E-007
906	3.09E-003	-4.47E-006	1.07E-003	1.73E-007
907	7.43E-003	-1.15E-005	1.07E-003	1.58E-007
908	7.46E-003	1.43E-005	1.07E-003	1.52E-007
909	4.60E-003	2.90E-005	1.07E-003	1.48E-007
910	8.26E-003	-6.30E-006	1.07E-003	1.23E-007
911	8.92E-003	-1.66E-005	1.07E-003	1.44E-007
912	4.00E-003	2.05E-005	1.07E-003	1.34E-007
913	7.86E-003	-2.80E-006	1.07E-003	1.55E-007
914	8.70E-003	-2.36E-005	1.07E-003	1.35E-007
915	1.04E-002	6.22E-006	1.07E-003	1.46E-007
916	9.80E-003	4.59E-005	1.07E-003	1.36E-007
917	1.07E-002	2.95E-005	1.07E-003	1.16E-007
918	1.09E-002	7.48E-006	1.07E-003	1.54E-007
919	1.17E-002	-8.17E-006	1.07E-003	1.46E-007
920	1.54E-002	-1.66E-005	1.07E-003	1.26E-007
921	1.54E-002	-7.27E-007	1.07E-003	1.60E-007
922	2.02E-002	1.97E-005	1.07E-003	1.47E-007
923	2.05E-002	1.92E-005	1.07E-003	1.57E-007
924	2.25E-002	-1.55E-005	1.07E-003	1.41E-007
925	2.68E-002	-4.16E-006	1.07E-003	1.75E-007
926	3.34E-002	-9.31E-006	1.07E-003	1.57E-007
927	3.55E-002	-1.11E-005	1.07E-003	1.47E-007
928	4.00E-002	3.82E-006	1.07E-003	1.19E-007
929	5.07E-002	-2.93E-007	1.07E-003	1.53E-007
930	6.30E-002	9.54E-006	1.07E-003	1.04E-007
931	6.45E-002	2.56E-005	1.07E-003	1.77E-007
932	8.04E-002	2.58E-005	1.07E-003	1.77E-007
933	9.88E-002	-3.21E-006	1.07E-003	1.59E-007
934	1.08E-001	-3.44E-005	1.07E-003	1.79E-007
935	1.30E-001	1.87E-005	1.07E-003	1.51E-007
936	1.46E-001	3.32E-005	1.07E-003	1.50E-007
937	1.87E-001	1.20E-005	1.07E-003	1.72E-007
938	2.09E-001	1.62E-005	1.07E-003	1.65E-007
939	2.31E-001	-3.71E-005	1.07E-003	1.65E-007
940	2.70E-001	-1.65E-007	1.07E-003	1.42E-007
941	3.29E-001	2.08E-005	1.07E-003	1.48E-007
942	3.68E-001	-1.77E-007	1.07E-003	1.48E-007
943	4.07E-001	7.70E-006	1.07E-003	1.13E-007
944	4.84E-001	-7.44E-008	1.07E-003	1.41E-007
945	5.94E-001	6.98E-007	1.07E-003	1.57E-007
946	6.75E-001	8.66E-006	1.07E-003	1.42E-007
947	5.79E-001	1.40E-005	1.07E-003	1.84E-007
948	6.91E-001	7.98E-006	1.07E-003	1.50E-007
949	7.20E-001	-1.08E-005	1.07E-003	1.40E-007
950	7.63E-001	-7.10E-006	1.07E-003	1.55E-007
951	9.31E-001	7.61E-007	1.07E-003	1.36E-007
952	1.06E+000	3.93E-006	1.07E-003	1.17E-007
953	1.17E+000	5.90E-006	1.07E-003	1.54E-007
954	1.37E+000	8.95E-007	1.07E-003	1.37E-007
955	1.63E+000	-3.63E-006	1.07E-003	1.32E-007
956	1.94E+000	1.37E-006	1.07E-003	1.51E-007
957	2.28E+000	-3.27E-006	1.07E-003	1.56E-007
958	2.71E+000	-4.75E-006	1.07E-003	1.61E-007
959	3.23E+000	9.90E-006	1.07E-003	1.48E-007
960	3.83E+000	2.53E-005	1.07E-003	1.60E-007
961	4.55E+000	1.30E-005	1.07E-003	1.47E-007
962	5.45E+000	2.33E-006	1.07E-003	1.39E-007
963	6.38E+000	1.42E-005	1.07E-003	1.63E-007
964	7.58E+000	1.34E-005	1.07E-003	1.65E-007
965	9.01E+000	8.29E-006	1.07E-003	1.45E-007
966	1.07E+001	9.05E-006	1.07E-003	1.67E-007
967	1.27E+001	-9.37E-007	1.07E-003	1.43E-007
968	1.51E+001	-1.28E-005	1.07E-003	1.58E-007
969	1.79E+001	-9.48E-006	1.07E-003	1.77E-007
970	2.15E+001	-1.39E-005	1.07E-003	1.26E-007
971	2.58E+001	-9.11E-006	1.07E-003	1.42E-007
972	3.07E+001	-1.00E-005	1.07E-003	1.35E-007
973	3.63E+001	3.24E-006	1.07E-003	1.45E-007
974	4.22E+001	1.87E-005	1.07E-003	1.76E-007
975	4.88E+001	2.25E-005	1.07E-003	1.28E-007
976	5.53E+001	1.20E-005	1.07E-003	1.53E-007
977	6.14E+001	-4.10E-005	1.07E-003	1.33E-007
978	6.71E+001	-3.57E-005	1.07E-003	1.33E-007
979	7.19E+001	1.81E-005	1.07E-003	1.43E-007
980	7.57E+001	5.95E-005	1.07E-003	1.60E-007
981	7.87E+001	6.02E-005	1.07E-003	1.51E-007
982	8.09E+001	-4.02E-005	1.07E-003	1.29E-007
983	8.26E+001	-3.83E-006	1.07E-003	1.36E-007
984	8.40E+001	4.18E-005	1.07E-003	1.70E-007
985	8.52E+001	3.64E-005	1.07E-003	1.45E-007
986	8.63E+001	0.00E+000	1.07E-003	1.48E-007
987	8.75E+001	-3.92E-005	1.07E-003	1.56E-007
988	8.87E+001	-8.23E-005	1.07E-003	1.40E-007
989	8.98E+001	1.00E-004	1.07E-003	1.36E-007
990	9.07E+001	-4.40E-005	1.07E-003	1.52E-007
991	9.14E+001	-4.60E-005	1.07E-003	1.49E-007
992	9.17E+001	1.11E-004	1.07E-003	1.32E-007
993	9.19E+001	7.89E-005	1.07E-003	1.65E-007
994	9.20E+001	5.27E-005	1.07E-003	1.51E-007
995	9.20E+001	1.12E-004	1.07E-003	1.73E-007
996	9.20E+001	2.05E-004	1.07E-003	1.39E-007
997	9.22E+001	1.15E-004	1.07E-003	1.29E-007
998	9.26E+001	1.41E-004	1.07E-003	1.69E-007
999	9.30E+001	3.81E-004	1.07E-003	1.54E-007
1000	9.36E+001	4.69E-004	1.07E-003	1.63E-007
1001	9.41E+001	6.23E-004	1.07E-003	1.38E-007
1002	9.46E+001	7.45E-004	1.07E-003	2.07E-006
1003	9.50E+001	4.55E-004	1.07E-003	-2.64E-006
1004	9.52E+001	1.40E-003	1.07E-003	-1.11E-006
1005	9.52E+001	1.06E-003	1.07E-003	1.40E-006
1006	9.50E+001	7.26E-004	1.07E-003	-2.49E-007
1007	9.46E+001	8.85E-004	1.07E-003	6.71E-007
1008	9.40E+001	7.18E-004	1.07E-003	5.23E-007
1009	9.34E+001	9.15E-004	1.07E-003	-5.86E-007
1010	9.27E+001	1.09E-003	1.07E-003	-6.19E-007
1011	9.19E+001	9.38E-004	1.07E-003	-6.79E-007
1012	9.12E+001	8.43E-004	1.07E-003	-1.31E-006
1013	9.04E+001	1.09E-003	1.07E-003	1.57E-006
1014	8.96E+001	1.44E-003	1.07E-003	-1.95E-006
1015	8.89E+001	1.04E-003	1.07E-003	1.12E-006
1016	8.83E+001	1.30E-003	1.07E-003	1.19E-006
1017	8.76E+001	1.44E-003	1.07E-003	-9.95E-007
1018	8.70E+001	1.55E-003	1.07E-003	-3.21E-007
1019	8.65E+001	1.47E-003	1.07E-003	-6.36E-007
1020	8.62E+001	9.87E-004	1.07E-003	3.58E-007
1021	8.58E+001	1.10E-003	1.07E-003	1.51E-006
1022	8.55E+001	1.52E-003	1.07E-003	5.98E-007
1023	8.52E+001	1.33E-003	1.07E-003	8.30E-007
1024	8.50E+001	9.75E-004	1.07E-003	-2.07E-006
1025	8.48E+001	1.14E-003	1.07E-003	-5.05E-007
1026	8.46E+001	1.03E-003	1.07E-003	9.51E-007
1027	8.45E+001	7.18E-004	1.07E-003	-1.07E-006
1028	8.44E+001	1.10E-003	1.07E-003	9.19E-007
1029	8.43E+001	1.01E-003	1.07E-003	1.17E-006
1030	8.43E+001	8.29E-004	1.07E-003	1.44E-007
1031	8.44E+001	9.40E-004	1.07E-003	-6.97E-009
1032	8.46E+001	1.10E-003	1.07E-003	-6.75E-007
1033	8.48E+001	1.16E-003	1.07E-003	2.30E-008
1034	8.51E+001	1.33E-003	1.07E-003	7.28E-007
1035	8.55E+001	1.97E-003	1.07E-003	1.04E-006
1036	8.60E+001	1.99E-003	1.07E-003	1.43E-006
1037	8.66E+001	1.93E-003	1.07E-003	1.20E-006
1038	8.71E+001	2.40E-003	1.07E-003	1.37E-006
1039	8.77E+001	2.76E-003	1.07E-003	5.77E-008
1040	8.83E+001	3.67E-003	1.07E-003	4.48E-006
1041	8.89E+001	3.75E-003	1.07E-003	3.98E-006
1042	8.94E+001	4.28E-003	1.07E-003	3.65E-006
1043	8.99E+001	4.62E-003	1.07E-003	4.40E-006
1044	9.04E+001	4.90E-003	1.07E-003	4.45E-006
1045	9.09E+001	5.72E-003	1.07E-003	5.96E-006
1046	9.13E+001	5.44E-003	1.07E-003	9.96E-006
1047	9.18E+001	6.67E-003	1.07E-003	1.30E-005
1048	9.22E+001	7.14E-003	1.07E-003	1.16E-005
1049	9.25E+001	7.00E-003	1.07E-003	1.14E-005
1050	9.30E+001	8.20E-003	1.07E-003	1.39E-005
1051	9.34E+001	9.80E-003	1.07E-003	2.54E-005
1052	9.38E+001	1.19E-002	1.07E-003	1.88E-005
1053	9.42E+001	1.37E-002	1.07E-003	2.14E-005
1054	9.46E+001	1.50E-002	1.07E-003	2.99E-005
1055	9.49E+001	1.75E-002	1.07E-003	2.94E-005
1056	9.52E+001	2.17E-002	1.07E-003	3.59E-005
1057	9.55E+001	2.63E-002	1.07E-003	3.92E-005
1058	9.57E+001	3.03E-002	1.07E-003	2.89E-005
1059	9.58E+001	3.54E-002	1.07E-003	4.27E-005
1060	9.59E+001	3.67E-002	1.07E-003	4.92E-005
1061	9.60E+001	4.41E-002	1.07E-003	5.83E-005
1062	9.60E+001	4.81E-002	1.07E-003	4.30E-005
1063	9.60E+001	5.44E-002	1.07E-003	7.13E-005
1064	9.60E+001	5.30E-002	1.07E-003	7.98E-005
1065	9.59E+001	5.40E-002	1.07E-003	6.08E-005
1066	9.58E+001	5.61E-002	1.07E-003	3.55E-005
1067	9.57E+001	5.91E-002	1.07E-003	4.28E-005
1068	9.56E+001	5.80E-002	1.07E-003	2.20E-005
1069	9.54E+001	6.14E-002	1.07E-003	3.56E-005
1070	9.53E+001	6.38E-002	1.07E-003	4.11E-005
1071	9.52E+001	6.72E-002	1.07E-003	3.91E-005
1072	9.51E+001	6.82E-002	1.07E-003	5.65E-005
1073	9.49E+001	7.31E-002	1.07E-003	4.57E-005
1074	9.48E+001	8.56E-002	1.07E-003	4.60E-005
1075	9.48E+001	9.65E-002	1.07E-003	5.74E-005
1076	9.47E+001	1.04E-001	1.07E-003	6.06E-005
1077	9.47E+001	1.22E-001	1.07E-003	5.78E-005
1078	9.47E+001	1.29E-001	1.07E-003	6.03E-005
1079	9.47E+001	1.52E-001	1.07E-003	6.11E-005
1080	9.48E+001	1.64E-001	1.07E-003	5.57E-005
1081	9.48E+001	2.13E-001	1.07E-003	2.78E-005
1082	9.48E+001	2.08E-001	1.07E-003	3.88E-005
1083	9.48E+001	2.17E-001	1.07E-003	5.80E-005
1084	9.47E+001	2.36E-001	1.07E-003	4.62E-005
1085	9.45E+001	2.11E-001	1.07E-003	6.11E-005
1086	9.43E+001	2.75E-001	1.07E-003	4.94E-005
1087	9.39E+001	3.07E-001	1.07E-003	4.39E-005
1088	9.36E+001	3.68E-001	1.07E-003	5.80E-005
1089	9.33E+001	3.69E-001	1.07E-003	5.04E-005
1090	9.30E+001	3.80E-001	1.07E-003	4.65E-005
1091	9.28E+001	3.83E-001	1.07E-003	7.05E-005
1092	9.28E+001	4.09E-001	1.07E-003	5.02E-005
1093	9.29E+001	4.81E-001	1.07E-003	4.46E-005
1094	9.31E+001	5.40E-001	1.07E-003	7.46E-005
1095	9.35E+001	6.45E-001	1.07E-003	6.31E-005
1096	9.39E+001	7.77E-001	1.07E-003	4.19E-005
1097	9.44E+001	9.25E-001	1.07E-003	1.61E-005
1098	9.47E+001	1.03E+000	1.07E-003	1.83E-005
1099	9.48E+001	1.18E+000	1.07E-003	5.72E-005
1100	9.45E+001	1.43E+000	1.07E-003	3.62E-005
1101	9.37E+001	1.62E+000	1.95E-004	4.62E-005
1102	9.24E+001	1.89E+000	3.90E-004	5.42E-005
1103	9.05E+001	2.30E+000	3.89E-004	5.15E-005
1104	8.80E+001	2.73E+000	9.70E-005	4.99E-005
1105	8.50E+001	3.21E+000	1.17E-003	4.07E-005
1106	8.17E+001	3.65E+000	1.46E-003	4.43E-005
1107	7.80E+001	4.17E+000	2.92E-004	4.78E-005
1108	7.41E+001	4.77E+000	1.17E-003	3.80E-005
1109	7.01E+001	5.45E+000	2.05E-003	5.62E-005
1110	6.60E+001	6.19E+000	1.95E-003	4.97E-005
1111	6.18E+001	7.10E+000	1.95E-003	5.64E-005
1112	5.73E+001	8.24E+000	2.73E-003	5.32E-005
1113	5.26E+001	9.61E+000	2.92E-003	6.32E-005
1114	4.78E+001	1.13E+001	3.70E-003	5.89E-005
1115	4.29E+001	1.34E+001	4.28E-003	5.66E-005
1116	3.80E+001	1.60E+001	4.38E-003	5.09E-005
1117	3.33E+001	1.92E+001	4.09E-003	5.60E-005
1118	2.88E+001	2.31E+001	5.65E-003	4.92E-005
1119	2.47E+001	2.77E+001	5.84E-003	7.73E-005
1120	2.10E+001	3.32E+001	6.23E-003	8.25E-005
1121	1.79E+001	3.95E+001	7.01E-003	8.12E-005
1122	1.52E+001	4.64E+001	6.72E-003	8.33E-005
1123	1.29E+001	5.37E+001	6.23E-003	7.67E-005
1124	1.10E+001	6.10E+001	7.79E-003	8.91E-005
1125	9.43E+000	6.78E+001	7.50E-003	1.05E-004
1126	8.13E+000	7.40E+001	7.50E-003	8.57E-005
1127	7.09E+000	7.89E+001	8.08E-003	8.95E-005
1128	6.22E+000	8.24E+001	8.18E-003	1.10E-004
1129	5.46E+000	8.45E+001	7.21E-003	1.14E-004
1130	4.84E+000	8.54E+001	7.50E-003	9.76E-005
1131	4.30E+000	8.52E+001	7.30E-003	9.89E-005
1132	3.81E+000	8.42E+001	7.01E-003	1.07E-004
1133	3.36E+000	8.27E+001	6.14E-003	9.60E-005
1134	2.96E+000	8.10E+001	6.33E-003	8.06E-005
1135	2.63E+000	7.91E+001	5.45E-003	8.87E-005
1136	2.31E+000	7.74E+001	4.77E-003	9.37E-005
1137	2.01E+000	7.60E+001	4.09E-003	1.01E-004
1138	1.78E+000	7.49E+001	3.02E-003	1.06E-004
1139	1.55E+000	7.42E+001	3.60E-003	1.16E-004
1140	1.35E+000	7.39E+001	3.60E-003	1.19E-004
1141	1.19E+000	7.39E+001	2.92E-003	1.24E-004
1142	1.06E+000	7.42E+001	1.46E-003	1.20E-004
1143	9.53E-001	7.49E+001	1.95E-003	1.34E-004
1144	8.35E-001	7.58E+001	7.79E-004	1.37E-004
1145	7.36E-001	7.69E+001	7.79E-004	1.58E-004
1146	6.79E-001	7.81E+001	1.95E-004	1.89E-004
1147	6.05E-001	7.95E+001	2.92E-004	2.26E-004
1148	5.13E-001	8.09E+001	1.17E-003	2.52E-004
1149	4.42E-001	8.21E+001	9.70E-005	2.88E-004
1150	4.46E-001	8.33E+001	3.90E-004	2.89E-004
1151	4.77E-001	8.44E+001	1.95E-004	3.15E-004
1152	4.42E-001	8.52E+001	6.82E-004	3.26E-004
1153	4.21E-001	8.58E+001	1.95E-004	3.52E-004
1154	4.00E-001	8.63E+001	1.95E-004	3.48E-004
1155	3.60E-001	8.66E+001	9.70E-005	3.57E-004
1156	3.32E-001	8.67E+001	1.95E-004	3.79E-004
1157	3.09E-001	8.68E+001	1.27E-003	3.90E-004
1158	2.85E-001	8.68E+001	9.70E-005	4.03E-004
1159	2.69E-001	8.68E+001	8.77E-004	4.26E-004
1160	2.47E-001	8.69E+001	9.70E-005	4.40E-004
1161	2.32E-001	8.70E+001	4.87E-004	4.67E-004
1162	2.17E-001	8.72E+001	5.84E-004	4.90E-004
1163	1.99E-001	8.75E+001	4.87E-004	5.09E-004
1164	1.86E-001	8.78E+001	7.79E-004	5.12E-004
1165	1.74E-001	8.82E+001	2.92E-004	5.42E-004
1166	1.60E-001	8.86E+001	2.92E-004	5.74E-004
1167	1.51E-001	8.90E+001	9.70E-005	5.92E-004
1168	1.43E-001	8.95E+001	9.70E-005	5.78E-004
1169	1.24E-001	8.98E+001	8.77E-004	6.35E-004
1170	1.08E-001	9.02E+001	6.82E-004	6.32E-004
1171	9.71E-002	9.05E+001	9.70E-005	5.70E-004
1172	9.29E-002	9.07E+001	9.70E-005	5.85E-004
1173	8.76E-002	9.09E+001	1.95E-004	6.39E-004
1174	8.03E-002	9.09E+001	2.92E-004	6.26E-004
1175	7.51E-002	9.09E+001	5.84E-004	6.65E-004
1176	6.91E-002	9.08E+001	5.84E-004	7.09E-004
1177	6.47E-002	9.07E+001	1.95E-004	7.18E-004
1178	6.11E-002	9.05E+001	9.70E-005	7.52E-004
1179	5.76E-002	9.04E+001	9.70E-005	8.32E-004
1180	5.40E-002	9.02E+001	1.95E-004	9.44E-004
1181	5.24E-002	9.00E+001	1.95E-004	9.86E-004
1182	5.01E-002	8.99E+001	2.92E-004	1.16E-003
1183	4.84E-002	8.98E+001	7.79E-004	1.25E-003
1184	4.76E-002	8.98E+001	9.70E-005	1.32E-003
1185	4.64E-002	8.98E+001	3.90E-004	1.64E-003
1186	4.45E-002	8.99E+001	9.70E-005	1.89E-003
1187	4.51E-002	9.00E+001	1.95E-004	1.94E-003
1188	4.39E-002	9.02E+001	2.92E-004	2.02E-003
1189	4.65E-002	9.04E+001	2.92E-004	2.14E-003
1190	4.08E-002	9.07E+001	1.17E-003	2.24E-003
1191	3.63E-002	9.09E+001	2.92E-004	2.26E-003
1192	3.87E-002	9.11E+001	1.95E-004	2.27E-003
1193	3.68E-002	9.12E+001	5.84E-004	2.53E-003
1194	3.70E-002	9.14E+001	9.70E-005	2.43E-003
1195	3.44E-002	9.15E+001	4.87E-004	2.25E-003
1196	3.51E-002	9.15E+001	1.07E-003	2.55E-003
1197	3.21E-002	9.15E+001	2.92E-004	2.32E-003
1198	3.08E-002	9.14E+001	1.95E-004	2.47E-003
1199	3.06E-002	9.12E+001	6.82E-004	2.78E-003
1200	3.05E-002	9.11E+001	1.95E-004	2.84E-003
1201	2.81E-002	9.09E+001	1.95E-004	3.00E-003
1202	2.90E-002	9.07E+001	3.89E-004	2.90E-003
1203	2.72E-002	9.05E+001	3.89E-004	2.98E-003
1204	2.70E-002	9.03E+001	9.70E-005	3.16E-003
1205	2.52E-002	9.01E+001	1.07E-003	2.84E-003
1206	2.55E-002	8.99E+001	1.95E-004	2.45E-003
1207	2.37E-002	8.98E+001	1.95E-004	1.88E-003
1208	2.44E-002	8.97E+001	7.79E-004	1.57E-003
1209	2.29E-002	8.96E+001	9.70E-005	1.25E-003
1210	2.23E-002	8.97E+001	1.95E-004	1.09E-003
1211	2.13E-002	8.97E+001	7.79E-004	8.28E-004
1212	2.19E-002	8.98E+001	7.79E-004	6.12E-004
1213	1.97E-002	9.00E+001	9.70E-005	5.45E-004
1214	2.02E-002	9.02E+001	4.87E-004	4.68E-004
1215	1.88E-002	9.04E+001	4.87E-004	4.20E-004
1216	1.91E-002	9.06E+001	1.95E-004	4.16E-004
1217	1.71E-002	9.08E+001	2.92E-004	3.39E-004
1218	1.81E-002	9.11E+001	9.70E-005	3.17E-004
1219	1.73E-002	9.14E+001	3.90E-004	3.19E-004
1220	1.73E-002	9.16E+001	9.70E-005	3.30E-004
1221	1.46E-002	9.18E+001	2.92E-004	2.97E-004
1222	1.51E-002	9.20E+001	3.90E-004	3.02E-004
1223	1.41E-002	9.22E+001	1.95E-004	2.96E-004
1224	1.36E-002	9.24E+001	2.92E-004	3.13E-004
1225	1.30E-002	9.25E+001	5.85E-004	3.28E-004
1226	1.33E-002	9.27E+001	2.92E-004	4.08E-004
1227	1.22E-002	9.28E+001	1.95E-004	4.16E-004
1228	1.35E-002	9.28E+001	1.95E-004	4.59E-004
1229	1.24E-002	9.29E+001	9.70E-005	5.02E-004
1230	1.36E-002	9.29E+001	3.90E-004	6.09E-004
1231	1.29E-002	9.28E+001	1.95E-004	6.07E-004
1232	1.40E-002	9.28E+001	1.95E-004	7.57E-004
1233	1.35E-002	9.27E+001	9.70E-005	8.28E-004
1234	1.55E-002	9.26E+001	9.70E-005	8.62E-004
1235	1.46E-002	9.25E+001	5.85E-004	9.11E-004
1236	1.64E-002	9.24E+001	4.88E-004	1.08E-003
1237	1.55E-002	9.23E+001	1.95E-004	9.22E-004
1238	1.74E-002	9.22E+001	9.75E-004	1.01E-003
1239	1.70E-002	9.21E+001	1.95E-004	9.39E-004
1240	1.83E-002	9.20E+001	4.87E-004	8.23E-004
1241	1.78E-002	9.19E+001	9.70E-005	8.13E-004
1242	1.86E-002	9.18E+001	9.80E-005	1.04E-003
1243	1.87E-002	9.17E+001	6.82E-004	9.57E-004
1244	1.92E-002	9.16E+001	3.90E-004	1.07E-003
1245	1.82E-002	9.15E+001	2.92E-004	1.24E-003
1246	1.84E-002	9.15E+001	9.70E-005	1.35E-003
1247	1.80E-002	9.14E+001	2.92E-004	1.48E-003
1248	1.73E-002	9.13E+001	3.90E-004	1.77E-003
1249	1.68E-002	9.13E+001	4.87E-004	1.81E-003
1250	1.70E-002	9.12E+001	1.95E-004	1.63E-003
1251	1.59E-002	9.12E+001	9.70E-005	1.34E-003
1252	1.57E-002	9.11E+001	9.70E-005	1.15E-003
1253	1.54E-002	9.11E+001	9.70E-005	8.56E-004
1254	1.34E-002	9.11E+001	9.70E-005	7.05E-004
1255	1.26E-002	9.11E+001	1.95E-004	4.81E-004
1256	1.20E-002	9.10E+001	2.92E-004	3.93E-004
1257	1.07E-002	9.10E+001	1.95E-004	3.06E-004
1258	1.05E-002	9.10E+001	2.92E-004	2.58E-004
1259	9.82E-003	9.10E+001	5.84E-004	2.29E-004
1260	9.64E-003	9.09E+001	9.70E-005	2.01E-004
1261	9.66E-003	9.09E+001	9.70E-005	1.68E-004
1262	9.77E-003	9.10E+001	3.90E-004	1.63E-004
1263	8.78E-003	9.10E+001	9.70E-005	1.38E-004
1264	9.28E-003	9.11E+001	1.95E-004	1.50E-004
1265	9.23E-003	9.12E+001	9.70E-005	1.36E-004
1266	1.02E-002	9.13E+001	9.70E-005	1.45E-004
1267	1.12E-002	9.14E+001	1.95E-004	1.25E-004
1268	1.13E-002	9.16E+001	1.95E-004	1.30E-004
1269	1.13E-002	9.17E+001	9.70E-005	1.33E-004
1270	1.18E-002	9.18E+001	4.87E-004	1.38E-004
1271	1.23E-002	9.20E+001	2.92E-004	1.36E-004
1272	1.31E-002	9.22E+001	3.90E-004	1.57E-004
1273	1.34E-002	9.24E+001	2.92E-004	1.58E-004
1274	1.39E-002	9.25E+001	8.77E-004	1.84E-004
1275	1.38E-002	9.26E+001	9.70E-005	1.66E-004
1276	1.47E-002	9.28E+001	9.70E-005	1.96E-004
1277	1.41E-002	9.29E+001	1.95E-004	1.84E-004
1278	1.47E-002	9.30E+001	9.70E-005	2.11E-004
1279	1.42E-002	9.31E+001	9.70E-005	2.11E-004
1280	1.46E-002	9.32E+001	9.70E-005	2.27E-004
1281	1.34E-002	9.34E+001	2.92E-004	2.22E-004
1282	1.30E-002	9.35E+001	1.95E-004	2.31E-004
1283	1.20E-002	9.35E+001	2.92E-004	2.21E-004
1284	1.20E-002	9.35E+001	9.70E-005	2.44E-004
1285	1.09E-002	9.35E+001	1.95E-004	2.28E-004
1286	9.90E-003	9.35E+001	1.95E-004	2.46E-004
1287	9.06E-003	9.35E+001	1.95E-004	2.12E-004
1288	8.40E-003	9.35E+001	3.90E-004	2.48E-004
1289	7.35E-003	9.35E+001	5.85E-004	2.28E-004
1290	6.50E-003	9.35E+001	9.70E-005	2.73E-004
1291	5.16E-003	9.34E+001	9.70E-005	2.62E-004
1292	4.80E-003	9.34E+001	9.70E-005	3.09E-004
1293	4.28E-003	9.33E+001	9.70E-005	3.25E-004
1294	3.60E-003	9.32E+001	2.92E-004	3.69E-004
1295	2.98E-003	9.31E+001	1.95E-004	3.84E-004
1296	1.79E-003	9.30E+001	2.92E-004	4.59E-004
1297	1.79E-003	9.29E+001	2.92E-004	4.74E-004
1298	1.41E-003	9.27E+001	9.70E-005	5.49E-004
1299	1.04E-003	9.25E+001	2.92E-004	5.44E-004
1300	1.01E-003	9.24E+001	3.90E-004	5.50E-004
1301	9.61E-004	9.22E+001	9.70E-005	4.61E-004
1302	4.01E-004	9.21E+001	2.92E-004	4.82E-004
1303	4.58E-004	9.20E+001	3.90E-004	4.17E-004
