#Teff    logg   Z/Zo            SED_name
 15000   1.75   0.5 		t15000.g1.75z0.5.dat.txt
 15000   2.00   0.5 		t15000.g2.00z0.5.dat.txt
 15000   2.25   0.5 		t15000.g2.25z0.5.dat.txt
 15000   2.50   0.5 		t15000.g2.50z0.5.dat.txt
 15000   2.75   0.5 		t15000.g2.75z0.5.dat.txt
 15000   3.00   0.5 		t15000.g3.00z0.5.dat.txt
 15000   3.25   0.5 		t15000.g3.25z0.5.dat.txt
 15000   3.50   0.5 		t15000.g3.50z0.5.dat.txt
 15000   3.75   0.5 		t15000.g3.75z0.5.dat.txt
 15000   4.00   0.5 		t15000.g4.00z0.5.dat.txt
 15000   4.25   0.5 		t15000.g4.25z0.5.dat.txt
 15000   4.50   0.5 		t15000.g4.50z0.5.dat.txt
 15000   4.75   0.5 		t15000.g4.75z0.5.dat.txt
 16000   2.00   0.5 		t16000.g2.00z0.5.dat.txt
 16000   2.25   0.5 		t16000.g2.25z0.5.dat.txt
 16000   2.50   0.5 		t16000.g2.50z0.5.dat.txt
 16000   2.75   0.5 		t16000.g2.75z0.5.dat.txt
 16000   3.00   0.5 		t16000.g3.00z0.5.dat.txt
 16000   3.25   0.5 		t16000.g3.25z0.5.dat.txt
 16000   3.50   0.5 		t16000.g3.50z0.5.dat.txt
 16000   3.75   0.5 		t16000.g3.75z0.5.dat.txt
 16000   4.00   0.5 		t16000.g4.00z0.5.dat.txt
 16000   4.25   0.5 		t16000.g4.25z0.5.dat.txt
 16000   4.50   0.5 		t16000.g4.50z0.5.dat.txt
 16000   4.75   0.5 		t16000.g4.75z0.5.dat.txt
 17000   2.00   0.5 		t17000.g2.00z0.5.dat.txt
 17000   2.25   0.5 		t17000.g2.25z0.5.dat.txt
 17000   2.50   0.5 		t17000.g2.50z0.5.dat.txt
 17000   2.75   0.5 		t17000.g2.75z0.5.dat.txt
 17000   3.00   0.5 		t17000.g3.00z0.5.dat.txt
 17000   3.25   0.5 		t17000.g3.25z0.5.dat.txt
 17000   3.50   0.5 		t17000.g3.50z0.5.dat.txt
 17000   3.75   0.5 		t17000.g3.75z0.5.dat.txt
 17000   4.00   0.5 		t17000.g4.00z0.5.dat.txt
 17000   4.25   0.5 		t17000.g4.25z0.5.dat.txt
 17000   4.50   0.5 		t17000.g4.50z0.5.dat.txt
 17000   4.75   0.5 		t17000.g4.75z0.5.dat.txt
 18000   2.00   0.5 		t18000.g2.00z0.5.dat.txt
 18000   2.25   0.5 		t18000.g2.25z0.5.dat.txt
