#       Teff       logg            Z/Zo        SED-name
       25000      3.25000           1    t25000.g3.25z1.dat.txt
       25000      3.50000           1    t25000.g3.50z1.dat.txt
       25000      3.75000           1    t25000.g3.75z1.dat.txt
       25000      4.00000           1    t25000.g4.00z1.dat.txt
       25000      4.25000           1    t25000.g4.25z1.dat.txt
       25000      4.50000           1    t25000.g4.50z1.dat.txt
       25000      4.75000           1    t25000.g4.75z1.dat.txt
       26000      2.75000           1    t26000.g2.75z1.dat.txt
       26000      3.00000           1    t26000.g3.00z1.dat.txt
       26000      3.25000           1    t26000.g3.25z1.dat.txt
       26000      3.50000           1    t26000.g3.50z1.dat.txt
       26000      3.75000           1    t26000.g3.75z1.dat.txt
       26000      4.00000           1    t26000.g4.00z1.dat.txt
       26000      4.25000           1    t26000.g4.25z1.dat.txt
       26000      4.50000           1    t26000.g4.50z1.dat.txt
       26000      4.75000           1    t26000.g4.75z1.dat.txt
       27000      2.75000           1    t27000.g2.75z1.dat.txt
       27000      3.00000           1    t27000.g3.00z1.dat.txt
       27000      3.25000           1    t27000.g3.25z1.dat.txt
       27000      3.50000           1    t27000.g3.50z1.dat.txt
       27000      3.75000           1    t27000.g3.75z1.dat.txt
       27000      4.00000           1    t27000.g4.00z1.dat.txt
       27000      4.25000           1    t27000.g4.25z1.dat.txt
       27000      4.50000           1    t27000.g4.50z1.dat.txt
       27000      4.75000           1    t27000.g4.75z1.dat.txt
       28000      2.75000           1    t28000.g2.75z1.dat.txt
       28000      3.00000           1    t28000.g3.00z1.dat.txt
       28000      3.25000           1    t28000.g3.25z1.dat.txt
       28000      3.50000           1    t28000.g3.50z1.dat.txt
       28000      3.75000           1    t28000.g3.75z1.dat.txt
       28000      4.00000           1    t28000.g4.00z1.dat.txt
       28000      4.25000           1    t28000.g4.25z1.dat.txt
       28000      4.50000           1    t28000.g4.50z1.dat.txt
       28000      4.75000           1    t28000.g4.75z1.dat.txt
       29000      3.00000           1    t29000.g3.00z1.dat.txt
       29000      3.25000           1    t29000.g3.25z1.dat.txt
       29000      3.50000           1    t29000.g3.50z1.dat.txt
       29000      3.75000           1    t29000.g3.75z1.dat.txt
       29000      4.00000           1    t29000.g4.00z1.dat.txt
       29000      4.25000           1    t29000.g4.25z1.dat.txt
       29000      4.50000           1    t29000.g4.50z1.dat.txt
       29000      4.75000           1    t29000.g4.75z1.dat.txt
       30000      3.00000           1    t30000.g3.00z1.dat.txt
       30000      3.25000           1    t30000.g3.25z1.dat.txt
       30000      3.50000           1    t30000.g3.50z1.dat.txt
       30000      3.75000           1    t30000.g3.75z1.dat.txt
       30000      4.00000           1    t30000.g4.00z1.dat.txt
       30000      4.25000           1    t30000.g4.25z1.dat.txt
       30000      4.50000           1    t30000.g4.50z1.dat.txt
       30000      4.75000           1    t30000.g4.75z1.dat.txt
       32500      3.25000           1    t32500.g3.25z1.dat.txt
       32500      3.50000           1    t32500.g3.50z1.dat.txt
       32500      3.75000           1    t32500.g3.75z1.dat.txt
       32500      4.00000           1    t32500.g4.00z1.dat.txt
       32500      4.25000           1    t32500.g4.25z1.dat.txt
       32500      4.50000           1    t32500.g4.50z1.dat.txt
       32500      4.75000           1    t32500.g4.75z1.dat.txt
       35000      3.25000           1    t35000.g3.25z1.dat.txt
       35000      3.50000           1    t35000.g3.50z1.dat.txt
       35000      3.75000           1    t35000.g3.75z1.dat.txt
       35000      4.00000           1    t35000.g4.00z1.dat.txt
       35000      4.25000           1    t35000.g4.25z1.dat.txt
       35000      4.50000           1    t35000.g4.50z1.dat.txt
       35000      4.75000           1    t35000.g4.75z1.dat.txt
       37500      3.50000           1    t37500.g3.50z1.dat.txt
       37500      3.75000           1    t37500.g3.75z1.dat.txt
       37500      4.00000           1    t37500.g4.00z1.dat.txt
       37500      4.25000           1    t37500.g4.25z1.dat.txt
       37500      4.50000           1    t37500.g4.50z1.dat.txt
       37500      4.75000           1    t37500.g4.75z1.dat.txt
       40000      3.50000           1    t40000.g3.50z1.dat.txt
       40000      3.75000           1    t40000.g3.75z1.dat.txt
       40000      4.00000           1    t40000.g4.00z1.dat.txt
       40000      4.25000           1    t40000.g4.25z1.dat.txt
       40000      4.50000           1    t40000.g4.50z1.dat.txt
       40000      4.75000           1    t40000.g4.75z1.dat.txt
       42500      3.75000           1    t42500.g3.75z1.dat.txt
       42500      4.00000           1    t42500.g4.00z1.dat.txt
       42500      4.25000           1    t42500.g4.25z1.dat.txt
       42500      4.50000           1    t42500.g4.50z1.dat.txt
       42500      4.75000           1    t42500.g4.75z1.dat.txt
       45000      3.75000           1    t45000.g3.75z1.dat.txt
       45000      4.00000           1    t45000.g4.00z1.dat.txt
       45000      4.25000           1    t45000.g4.25z1.dat.txt
       45000      4.50000           1    t45000.g4.50z1.dat.txt
       45000      4.75000           1    t45000.g4.75z1.dat.txt
       47500      3.75000           1    t47500.g3.75z1.dat.txt
       47500      4.00000           1    t47500.g4.00z1.dat.txt
       47500      4.25000           1    t47500.g4.25z1.dat.txt
       47500      4.50000           1    t47500.g4.50z1.dat.txt
       47500      4.75000           1    t47500.g4.75z1.dat.txt
       50000      4.00000           1    t50000.g4.00z1.dat.txt
       50000      4.25000           1    t50000.g4.25z1.dat.txt
       50000      4.50000           1    t50000.g4.50z1.dat.txt
       50000      4.75000           1    t50000.g4.75z1.dat.txt
       52500      4.00000           1    t52500.g4.00z1.dat.txt
       52500      4.25000           1    t52500.g4.25z1.dat.txt
       52500      4.50000           1    t52500.g4.50z1.dat.txt
       52500      4.75000           1    t52500.g4.75z1.dat.txt
       55000      4.00000           1    t55000.g4.00z1.dat.txt
       55000      4.25000           1    t55000.g4.25z1.dat.txt
       55000      4.50000           1    t55000.g4.50z1.dat.txt
       55000      4.75000           1    t55000.g4.75z1.dat.txt	 
